연번,이름,내용
11,팥소 없는 찐빵은 안돼요!,"쌀과 함께 가장 중요한 곡류 중 하나가 밀이다. 밀의 원산지는 서아시아로 열량은 쌀과 별 차이가 없으나 단백질의 양은 쌀의 2배에 해당 하는 12%정도나 된다. 밀에 들어 있는 단백질은 글리아딘과 글루테닌으로 밀가루에 50~60%의 물을 가하여 반죽하면  이 두 단백질이 물과 결합하여 삼차원의 망상구조인 글루텐이 형성된다. 반죽을 오래할수록 점탄성이 좋은 글루텐이 형성된다. 글루텐의 함량에 따라 강력분, 중력분, 박력분 등으로 나뉜다. 글루텐이 형성된  밀가루반죽에 발효제를 넣어 만든 빵은 대부분이 당질로 74%의 전분질이 들어있다. 이는 당질을 소화하고 분해시키는데 필수적인 비타민B1이 절대적으로 부족하게 된다. 곡류의 부족한 비타민B1을 보강 할 수 있는 식품이 팥이다. 그래서 우리 선조들은 쌀밥의 부족한 비타민 B1을 보충하기 위해 팥밥, 팥떡 등을 만들어 먹었다. 팥은 성질이 평하고 맛은 달고 시다. 주요성분은 수분 15%, 단백질 21.4%, 지방 0.6%, 당질 56.6%, 섬유질, 회분, 비타민 B1 등이 함유되어 있다. 팥은 껍질에 영양분이 많이 있으므로 껍질째 먹는 것이 좋고 소금을 약간 넣어서 먹는 것이 좋다. 또한 사포닌이 약 0.3% 함유되어 있어 섬유질과 함께 장운동을 활발하게 해 변비에 효과가 있다. 우리 몸에 당질 대사가 원활히 이뤄지지 않으면 몸 안에  젖산이 쌓이게 된다. 따라서 당질이 에너지로 전환하는데 도움이 되는 비타민 B1은 당질대사를 촉질 할 뿐 아니라 피로회복, 각기병에 도움이 된다. 따라서 밀가루로 만든 찐빵에 당질의 소화흡수를 도울 수 있는 팥소는 서로 잘 맞는 식품이라고 할 수 있다. "
12,정월대보름엔 오곡밥을,"음력1월 15일을 대보름이라 하여 신라시대부터 지켜온 명절로 오곡밥을 지어먹는 풍습이 있었다. 오곡밥이란 쌀, 조, 수수, 팥, 콩 등 다섯 가지 곡식을 넣어 지은 밥이다. 그 지방에서 주로 생산되는 곡물을 이용하여 넣는 곡식의 종류는 지방에 따라 서로 다르다. 오곡밥은 다섯 가지 곡식이 들어가 있어 영양의 균형이 맞고 맛도 또한 좋다. 주로 찹쌀, 멥쌀, 차좁쌀, 찰수수, 팥 등을 넣으며 찹쌀과 멥쌀은 따뜻한 물에 충분히 불렸다가 소쿠리에 건져 놓고 차좁쌀, 찰수수쌀은 따뜻한 물에 씻어서 소쿠리에 건져 놓는다. 팥은 솥에 물을 부어 삶다가 팥 껍질이 벗겨 질 때 까지 삶는다. 준비해둔 잡곡을 한 김을 올리다가 소금물을 조금씩 끼얹고 다시 한 김 올린 다음 뜸을 푹 들인다. 쌀의 주성분은 당질이며 비타민 B1 함량이 부족한 편이다. 당질 대사에서 비타민 B1은 중요한 역할을 하므로 보충이 필요하다. 수수는 쌀처럼 약 74%의 당질을 함유하며 단백질 함량은 약 10%로 프롤라민과 글루테닌이 많고 칼륨과 니아신은 다른 곡류에 비해서 많이 포함되어 건강에 도움이 된다. 오곡밥을 지을 경우 비타민 B1 뿐만 아니라 단백질이 자연스럽게 보충이 되어 아미노산의 보강효과가  좋아진다."
13,메밀국수에는 무가 제격," 메밀의 조성성분을 살펴보면 수분이 11.8%에 약 69%의 당질과 약 12%의 단백질, 그리고 2.9~3.3%의 지질을 함유하고 있다. 메밀의 원산지는 만주 바이칼호 부근이며 자연환경이 척박한 조건에서도 잘 자라고 생육기간도 짧다. 메밀을 이용한 음식으로 메밀묵, 메밀국수, 냉면, 빙떡 등이 있다. 메밀로 만든 춘천 막국수가 유명하며 일본의 경우 ‘소바’가 있다. 메밀가루로 국수를 만드는 경우 끈기가 없는 이유는 단백질 중 끈기를 나타내는 프롤라민이 적기 때문이다. 이때 끈기를 주기위해 달걀을 넣어 반죽을 하기도 한다. 메밀의 겉껍질에 있는 살리실아민과 벤질아민이라는 성분은 우리 몸에 유해한 성분으로 알려져 있다. 이러한 독성 성분을 제거 시키는데 가장 좋은 식품이 무이다. 무의 뿌리 부분은 비타민 C와 칼슘의 함량이 비교적 많고, 특히 잎 부분에는 뿌리에 비해 많은 비타민 C와 칼슘, 그리고 철과 β-카로틴을 포함하고 있고 식이섬유도 풍부하여 변비나 대장암을 예방할 수 있는 기능도 있다. 또한 무에는 여러 가지 효소가 포함되어 있어 소화를 촉진하여 위의 도움이 된다. 막국수에 무쪽을 넣어서 먹거나 소바를 먹을 때 무 간 것을 양념간장에 넣어 먹은 이유가 있다. 메밀가루는 배아를 포함하고 있어서 효소의 활성이 남아있어 변질되기 쉽다. 면을 제조 시 되도록 새 가루를 이용하는 것이 좋다. "
14,청국장찌게에는  신 김치가 어울려요,"청국장은 우리 전통의 발효식품으로 대두 등을 원료로 하여 적절한 온도에서 발효시켜 제조한 것이다. 청국장은 수분 56%, 단백질 18.6%, 지질 8.7%, 당질6.4%로 대두 단백질은 미생물에 의해 일부 소화되어 특유한 냄새와 점성물질을 생성한다. 발효 시 단백질의 10%가 유리아미노산으로 되는 등 여러 소화 효소로 소화를 돕는 작용이 있다. 청국장은 우선 콩을 물에 충분히 불려 삶아서 소쿠리나 시루에 담아서 발효를 시키는데 이때 짚이나 지푸라기를 깐 후에 콩을 쏟고 따뜻하게 보온한다. 온도는 약 40℃정도를 유지하고 2~3일이 지나면 콩에 하얀 막과 함께 실이 생겨난다. 이렇게 잘 띄워진 청국장을 신 김치와 함께 찌개를 끓이면 김치의 숙성과정에서 비타민B1과 마늘의 알리신이 결합하여 소화기계의 흡수력을 좋게 할 뿐 만 아니라 김치의 유기산에 의해 청국장에 상큼한 맛과 감칠맛이 더해진다. 더욱 배추 자체의 식이섬유가 첨가되어 정장효과를 더욱 극대화 할 수 있는 서로 잘 맞는 음식이다. "
15,수수도가니의 비밀,"수수의 원산지는 열대아프리카와 인도가 원산지로 성질은 따뜻하다. 점도에 따라 찰수수와 메수수로 분류할 수 있다. 주로 찰수수는 떡, 술, 엿을 만들고, 메수수는 밥, 죽, 경단, 부꾸미, 고추장 등을 만드는데 이용 하였다. 성분 조성을 살펴보면 단백질 10.6%, 지질 1.7%, 당질 71.7%, 섬유 0.8%, 회분1.2%, 칼륨 180mg, 칼슘 11mg, 인 240mg, 철 1.8mg, 비타민 B 복합체 등을 함유한다. 수수의 따뜻한 성질 때문에 위장을 보호하고 소화불량에 효과가 있다. 수수는 떫은맛을 가진 탄닌이 있어 여러 번 헹구어 붉은 물을 빼고 사용해야 한다. 수수에는 지질과 단백질이 부족해 이를 보완해 줄 수 있는 식품을 첨가해 주어야 한다. 우리나라에 전해오는 향토음식 중 수수도가니가 있다. 이 음식은 햇수수에 풋콩, 풋팥, 소금, 설탕 등을 넣어 만들어 간식으로 먹어왔다. 콩의 주요 성분은 단백질과 지질 및 당질로 수수도가니는 수수성분에 부족한 단백질과 지질을 보충해 줄 수 있는 콩을 넣어 만든 떡으로 영양적으로 균형이 맞는 훌륭한 간식이다."
16,엿기름으로 떡을,"우리의 전통 음식 중 향토음식은 각 지방의 고유한 특색을 살려 맛과 멋을 담은 음식이다. 평안도의 고유한 전통식으로 노티가 있다. 설이나 추석이 되면 집집마다 노티를 만들어단지에 넣어두고 간식으로 먹는데 상하지 않아 오랫동안 보관이 용이하다. 노티를 만드는 방법은 먼저 기장과 찰수수를 가루 내어 익반죽을 한 다음 엿기름가루를 넣고 삭혀 지진 떡이다. 이 떡은 특징은 찰수수가루에 엿기름을 넣어 따뜻하게 하여 전분을 가수분해 시켜 맥아당을 형성하는 방법으로 당화과정에서 당분이 생기고 또 공기의 접촉으로 유산균의 작용을 받아 신맛도 생겨난다. 그래서 떡에서 달면서도 신맛도 가지게 되고 또한 유산균의 영향으로 독특한 향기가 있고, 장기간 동안 보관도 용이한 것이다."
17,떡과 식혜,"농경생활을 정착하게 된 청동기 시대 이후 시루가 등장 하면서 찐 떡을 만들어 먹었다.  밥을 짓기 이전에는 떡이 일상 음식으로 이용되었다. 밥이 일상식이 되면서 떡은 연회음식, 통과의례음식, 명절음식과 같은 의례용으로 이용되었다. 떡은 쌀을 불린 후 가루를 내어 떡가루를 수중기로 찌거나 떡메로 쳐서 만들기 때문에 쌀 알갱이 보다 조직이 더 치밀하고 열량도 훨씬 적다. 그러나 떡은 밥보다 소화시키기 어려워 위의 부담이 크다. 그래서 조상들은 명절이나 잔치날, 생일날 등 특별한 날엔 식혜를 만들어 먹었다.   식혜는 쌀밥을 엿기름물에 당화 시켜서 단맛을 낸 것이다. 특히 엿기름에 들어있는 아밀라아제를 비롯한 여러 효소의 작용으로 쌀 전분이 가수분해 된 덱스트린, 맥아당, 포도당의 혼합물을 가열하여 만든다. 주로 겨울철에 많이 만드는 식혜는 우리나라 사람들이 가장 즐기는 발효 음료라 할 수 있다"
18,고추장으로 식욕 높이는 비빔밥,"비빔밥의 유래에 대해서는 여러 가지 설이 전해 내려오고 있다. 제사음식에서 비롯되었다는 설과 농번기 때 매번 음식을 내갈 수가 없어 한 그릇에 밥과 찬을 함께 담아냈다는 설 등이 있다. 비빔밥은 밥을 고슬고슬하게 지어서 참기름으로 살짝 비며 그릇에 담고 각종의 나물을 양념을 하여 고추장 볶음을 곁들여 상에 낸다. 비빔밥에 꼭 필요한 고추장은 콩의 발효식품으로 대두 단백질의 분해로 생성된 아미노산의 구수한 맛, 전분 분해로 생성된 당분의 단맛, 소금의 짠맛과 고춧가루의 매운 맛이 잘 어우러진 전통 발효 식품이다.   고추장은 메줏가루에 밥이나 떡가루 또는 되게 쑨 죽 등 전분질 식품을 잘 혼합하여 고춧가루와 소금을 넣고 간을 맞춘 것이다. 고추장 성분을 보면 단백질 8.9%, 지질 4.1%, 당질 15.9% 철분 13.6mg%, 비타민C 50mg 등 영양가가 높은 편이다. 그 외에도 베타카로틴이 많고, 토코페롤도 들어 있다. 이러한 고추장을 비빔밥에 넣으면 영양의 증진 뿐 만 아니라 고운 붉은색과 매운맛이 어우러져 보기에도 먹음직스럽다."
19,호박과 꿀,"한방에서는 오래 전부터 몸에 부기가 있거나 소변이 시원치 않은 사람에게 호박을 이용하였다. 민간요법에서 산후 산모의 부기가 빠지지 않을 때 호박을 달여 먹이기도 하였다. 호박의 주요 성분은 수분이 90% 차지하며 비타민 A가 많이 함유되어 있다. 호박의 독특한 색은 카로틴과 잔쏘필(xanthophyll) 때문이다. 카로틴의 함량이 많은 호박은 폐암, 위암, 방광암, 후두암, 전립선암 등의 위험을 경감시킨다. 또한 수용성 식이섬유소인 펙틴이 다량 함유돼 있어 변비, 담석증 예방 효과가 있다. 가래와 기침이 심할 때 호박, 생강, 꿀, 대추 등을 넣어 만든 호박꿀단지가 효과가 있다. 가을에 수확한 호박을 통풍과 온도가 적당한 곳에 잘 보관 해 두었다가 겨울철에 꺼내어 부족 되기 쉬운 비타민도 공급받고 부종, 가래, 천식에 효과가 있는 호박꿀단지를 만들어 가족과 함께 먹어보자."
20,가지는 기름과 찰떡 궁합," 가지는 약 1000년 전 원산지 인도에서 중국을 거쳐 우리나라에 들어와 오랫동안 여름철 별식으로 우리 밥상에 올라왔다. 주요 성분은 단백질과 탄수화물 환원당이 많이 들어 있고 비타민, 칼륨, 회분이 함유되어 있다. 가지의 성질은 매우 차가워서 열을 식혀 주는 역할을 하지만 몸이 차거나 대변이 무른 사람은 지나치게 먹지 않도록 한다. 가지는 특유의 아린 맛 때문에 날것으로 먹기가 쉽지 않아 밥통에 넣어 찌거나 기름에 살짝 볶아 조리해 먹는다. 가지는 필수지방산과 리놀렌산, 비타민 E가 많이 들어 있다. 따라서 조리방법은 기름과 함께 조리하면 몸에 쉽게 흡수된다. 게다가 가지의 조건이 스펀지 상태로 기름을 잘 흡수하는 성질을 갖고 있어 기름에 튀기거나 볶아 먹기에 알맞다.   더위에 지친 심신에 입맛도 살리고 몸에 좋은 보양식으로 가지를 기름에 볶거나 튀겨 먹어보자."
